Title,Author,First Publish Year,Subjects
Suzanne's diary for Nicholas,James Patterson,2001,"Fiction, Mothers and sons, Loss (Psychology), Infants, Diary fiction, Love stories, Accessible book, Protected DAISY, OverDrive, Fiction, romance, contemporary, Mothers and sons, fiction, Fiction, short stories (single author), collectionid:jprom"
War of the Twins,"Margaret Weis, Tracy Hickman",1986,"Krynn (Imaginary place), Dragons, Twins, Fiction, Fiction, fantasy, general, Fantasy fiction, Fantasy, Dungeons & Dragons Novel, collection:DragonLance"
Mountain Top Mystery,"Gertrude Chandler Warner, Liz Brizzi, David Cunningham",1964,"Juvenile fiction, Boxcar children (Fictitious characters), Orphans, Family, Families, Detective and mystery stories, Mystery and detective stories, Children: Grades 2-3, Fiction, Mountaineering, Mystery fiction, Boxcar children (Fictional characters), Family life, Native Americans, Siblings, Children's fiction, Mountaineering, fiction, Orphans, fiction, Boxcar children (fictitious characters), fiction, series:BoxcarChildren, collectionID:Boxcar1"
The Last Wish,"Andrzej Sapkowski, Danusia Stok",2022,"Fiction, fantasy, collections & anthologies"
The Secret Baby Bargain,Melanie Milburne,2007,"Fiction, Romance, Contemporary, Passion"
Who censored Roger Rabbit?,Gary K. Wolf,1981,"Fiction, mystery & detective, general"
The house of the arrow,A. E. W. Mason,1924,"Fiction, mystery & detective, general"
Disputa entre semi deuses,Mateus Vinícius,1885,"Fiction, Roman, Young men, Christianity and other religions, Stoics, Paganism, Fiction, christian, historical, Fiction, coming of age, Rome, fiction, Christianity, Interfaith relations, Romans, Religion"
Long road to mercy,David Baldacci,2018,"United States, Missing persons, Fiction, United States. Federal Bureau of Investigation, Officials and employees, Fiction, mystery & detective, women sleuths, Fiction, thrillers, Arizona, fiction, Serial murders, fiction, Twins, fiction, nyt:hardcover-fiction=2018-12-02, New York Times bestseller, Murder, Police, Employees, Investigation, Twins, Serial murderers, Fiction, thrillers, general, nyt:trade-fiction-paperback=2019-06-16, nyt:combined-print-and-e-book-fiction=2018-12-02"
Tom Clancy's Net Force,"Tom Clancy, Steve R. Pieczenik",1998,"Computer crimes, Fiction, Investigation, Thriller, Fiction, technological, Fiction, thrillers, general, Cyberspace, Computers, Science fiction, Mystery fiction, Mystery and detective stories, Accessible book, Circus, Computer games, Crisis management in government, Internet, Military research, OverDrive, Programming, Protected DAISY, Secret service, Subversive activities, Suspense, Virtual reality, Political fiction, Spy stories, In library, Popular Print Disabled Books, Federal Bureau of Investigation, Computer networks, Assassination, Security measures, Sabotage, General, Spanish: Adult Fiction, Fiction, thrillers, espionage, Large type books, Children's fiction, Sports, fiction, Adventure and adventurers, fiction, Spies, fiction, Fiction, thrillers, suspense"
Kara kitap,Orhan Pamuk,1990,"Fiction, Missing persons, False personation, Fiction, mystery & detective, general, Missing persons, fiction, Istanbul (turkey), fiction, Lawyers, fiction, Cuentos jurídicos, Novela policíaca, Ficción, Personas desaparecidas, Usurpación de personalidad, Legal stories, Investigation, Lawyers, Fiction, general, Novela, Subkultur, Attentat, Roman, Text"
Secret Fire,Johanna Lindsey,1987,"Fiction, Romance, Historical, Social life and customs, Large type books, Fiction"
The Future King's Pregnant Mistress,Penny Jordan,2007,"Man-woman relationships, Love stories, Fiction, Fiction, romance, general, Passion, Romance"
Blood Work,Michael Connelly,1998,"Private investigators, Serial murderers, Serial murders, Donations of organs, tissues, Open Library Staff Picks, Fiction, Fiction in Italian, Thriller, Heart, Patients, Transplantation, Fiction, thrillers, general, Fiction, mystery & detective, general, Serial murders, fiction, Private investigators, fiction, Los angeles (calif.), fiction, Large type books, nyt:e-book-fiction=2012-05-13, New York Times bestseller"
Mister Seahorse,"Eric Carle, Miguel Angel Mendo Valiente",2004,"Sea horses, Fiction, Fishes, Father and child, Juvenile fiction, Peces, Novela juvenil, Ficción juvenil, Camouflage (Biology), Padres e hijos, Spanish language materials, Children's fiction, Fathers, fiction, Parent and child, fiction, Sea horses, fiction, Fishes, fiction, Board books, Father and child, fiction, Père et enfant, Romans, nouvelles, etc. pour la jeunesse, Hippocampes, Poissons"
Llama Llama Misses Mama,Anna Dewdney,2009,"Fiction, Juvenile fiction, Llamas, Nursery schools, Schools, Separation anxiety, Stories in rhyme, Separation anxiety in children, School stories, Mothers and sons, First day of school, Children's fiction, Separation anxiety, fiction, Nursery schools, fiction, Schools, fiction, Llamas, fiction, nyt:picture-books=2009-05-17, New York Times bestseller"
Al Capone does my shirts,Gennifer Choldenko,2004,"Brothers and sisters, Dysfunctional families, Juvenile fiction, Family problems, Fiction, Autism, United States Penitentiary, Alcatraz Island, California, History, Family life, Historical fiction, Brothers and sisters of children with disabilities, Siblings, Families, Newbery Honor, Children's fiction, California, fiction, Autism, fiction, Brothers and sisters, fiction, Family life, fiction, Family, fiction, Siblings, fiction, award:Newbery_award, lexile:600, lexile_range:601-700, age:min:10, age:max:12, grade:min:5, grade:max:6"
Les Lauriers de César,"René Goscinny, Albert Uderzo",1972,"series:asterix, Comic books, strips, Bandes dessinées, Gaulois, Caricatures and cartoons, Romains, Celts, Cartoons and comics, Celts in fiction, Fiction, Children's fiction, Comic books, strips, etc., France, history, fiction, Asterix (fictitious character), fiction, Comic strip fiction / graphic novels, Literature, Graphic novels"
American Tabloid,James Ellroy,1995,"Political corruption, Fiction, Criminals, Violence, Corruption (Politique), Fiction, general, Corruption in government, Corruption (in government), Politics and government, Romans, nouvelles, Politique et gouvernement, Fiction, mystery & detective, general, Fiction, thrillers, general, United states, fiction"
The Covenant of Water,Abraham Verghese,2023,"nyt:combined-print-and-e-book-fiction=2023-05-21, New York Times bestseller, drowning, families, fiction, historical fiction"
Heart Song,V. C. Andrews,1997,"Family, Fiction, Large type books, Logan family (Fictitious characters : Andrews), Young women, Fiction, sagas, Cape cod (mass.), fiction, Massachusetts, fiction, Families, Jóvenes (Mujeres), Novela, Familia, Psychological fiction, Roman psychologique, Secret, Romans, nouvelles, collectionid:vcalg"
Trumpet,Jackie Kay,1998,"Jazz musicians, Fiction, Fiction, general, Transvestites, Blacks, Trumpet players, Families, Cross-dressers, Jazz, LGBTQ gender identity, LGBTQ novels, Lambda Literary Awards, Lambda Literary Award Winner, Fiction, sagas, Fiction, psychological, Great britain, fiction, Black people"
Chains,Laurie Halse Anderson,2008,"Fiction, History, Spies, Juvenile fiction, Slavery, African Americans, American Revolution (1775-1783) fast (OCoLC)fst01351668, Spy stories, 1000blackgirlbooks, Children's fiction, Slavery, fiction, African americans, fiction, Spies, fiction, New york (n.y.), history, fiction, United states, history, revolution, 1775-1783, fiction, Large type books, Romans, nouvelles, etc. pour la jeunesse, Histoire, Livres en gros caractères, Large print books"
Seduce Me at Sunrise,Lisa Kleypas,2008,"collectionID:DHromance, collectionID:2bodice_ripper, Fiction, Romance, Historical, Regency, England in fiction, Romanies in fiction, Protected DAISY, Bodice Ripper"
Miracle at Camp Friendship,Sarah Hopewell,2000,"Camps, Christian life, Fiction, Friendship"
L'Odyssée d'Astérix,Albert Uderzo,1979,"series:asterix, Comic books, strips, Caricatures and cartoons, Comic strip fiction / graphic novels, Asterix (fictitious character), fiction, Graphic novels, Children's fiction, Adventure and adventurers, fiction, Comic books, strips, etc., France, history, fiction, Comics & graphic novels, general"
Roald Dahl's Revolting Recipes,"Josie Fison, Felicity Dahl",1994,"Literary cookbooks, Cooking, Juvenile literature, Cookery, Cooking, juvenile literature, Children's fiction, Cooking, fiction"
Nancy Drew 34,Mildred Augustine Wirt Benson,1957,"OverDrive, Fiction, Juvenile Fiction, Mystery, Drew, Nancy (Fictitious character), Mystery and detective stories"
The Husband's Secret,Liane Moriarty,2013,"Letters, Husband and wife, Fiction, Family secrets, Mothers of murder victims, Fiction, family life, Married people, fiction, nyt:hardcover-fiction=2013-08-25, New York Times bestseller, Cartas, Ficción, Cónyuges, nyt:trade-fiction-paperback=2015-03-22"
Five Go Off to Camp,Enid Blyton,1948,"Juvenile litearture, fiction, Adventure and adventurers, Mystery and detective stories, England, Children's fiction, Juvenile fiction, Famous Five (Fictitious characters), Children's stories, Adventure stories, Camping, Adventure and adventurers, fiction, England, fiction, Large type books, Livres en gros caractères, Histoires pour enfants, Large print books, Protected DAISY, Accessible book, Literature and fiction, juvenile, Camps, fiction, Short stories"
The Russia house,John le Carré,1987,"Fiction, Intelligence officers, British, Physicists, Publishers and publishing, Espionage, Perestroĭka, Detective and mystery stories, Spy stories, Spies, Mystery fiction, Love stories, Large type books, Fiction, thrillers, espionage, Russia (federation), fiction"
The Ideal Wife,Mary Balogh,1991,"Fiction, Romance, Historical, Regency, Aristocracy (Social class), fiction, nyt:mass-market-paperback=2008-07-13, New York Times bestseller, Married people, fiction"
The Blessing Way CD Low Price,Tony Hillerman,1970,"Mystery, Detective and mystery stories, Police, Indians of North America, Chee, Jim (Fictitious character, Navajo Indians, Leaphorn, Joe, Lt. (Fictitious character, Jim Chee (Fictitious character), Mystery fiction, Indian reservation police, Lt. Leaphorn, Joe (Fictitious character), Southwestern States, Fiction, Fiction, mystery & detective, police procedural, Leaphorn, joe, lt. (fictitious character), fiction, Arizona, fiction, Navajo indian reservation, fiction, Indians of north america, fiction, Fiction, thrillers, general, Chee, jim (fictitious character), fiction, Large type books, nyt:e-book-fiction=2016-09-04, New York Times bestseller"
Amelia Bedelia goes camping,Peggy Parish,1985,"Humorous stories, Children's stories, American, Camping, Juvenile fiction, Amelia-Bedelia (Fictitious character), Fiction, JUVENILE FICTION / Humorous Stories, JUVENILE FICTION / Sports & Recreation, Humorous fiction, JUVENILE FICTION / Reader - Beginner, Children's fiction, Camping, fiction, Amelia-bedelia (fictitious character), fiction, Household employees, fiction, Greenwillow Books, HarperCollins, Publisher, Amelia Bedelia, Goes Camping, Mr. Rogers, Mrs. Rogers, I Can Read, Books, Level 2, fun, funny, car, ride, riding, road, trip, driving, excitement, camping, tents, water, fishing, trees, nature, birds, fish, rowing, row, boat, barbecue, birthday, cake, candles, picnic"
PM Fiction Plus,"Randell, Beverley",1999,"Seashore animals, Juvenile fiction, Seashore plants, Grandparent and child, Seashore, Fiction, Grandmothers, Readers, Dogs"
The Token Wife,Sara Craven,2004,"Fiction, Romance, Contemporary, Arranged marriage, Bankers, Legal assistants, Inheritance and succession, Fiction, romance, general"
Later,Stephen King,2021,"nyt:combined-print-and-e-book-fiction=2021-03-21, New York Times bestseller, New York Times reviewed, Serial murders, fiction, Fiction, mystery & detective, general, Fiction, horror, Ability, Fiction, Mediums, Serial murderers, Investigations, Bombings, Criminal investigation, Mothers and sons, FICTION / Thrillers / Supernatural, FICTION / Mystery & Detective / Police Procedural, FICTION / Thrillers / Crime, Mother-son relationship, Children of single parents, Parapsychology, Police, Murderers, Good and evil, Ghost stories"
Les Souterrains,Jack Kerouac,1958,"Beat Generation, Fiction, Fiction in English, Beats (Persons), San francisco (calif.), fiction, American fiction (fictional works by one author), American fiction, Generación Beat, Novela, Novela estadounidense, Literatura estadounidense, Autores estadounidenses, Beatniks, Romans, nouvelles, Roman américain, Beats (persons), Beats (persons)--fiction, Pz3.k4596 su, Ps3521.e735, Ps3521.e735 s9 1958b, 813.5 k39s, 1958"
Un Noël De Maigret,Georges Simenon,1951,"Fiction, French Detective and mystery stories, Jules Maigret (Fictitious character), Police, France, fiction, Maigret, jules (fictitious character), fiction, Paris (france), fiction, Continental european fiction (fictional works by one author), Fiction, mystery & detective, police procedural, English Detective and mystery stories, Open Library Staff Picks, Translations into English, Christmas stories, Translations from French, Detective and mystery stories, French, Literatura de expressão francesa, French Translations"
Free Food for Millionaires,Min Jin Lee,2007,"Literature, Women college graduates, Children of immigrants, Fiction, Korean Americans, New york (n.y.), fiction, Asian americans, fiction, Fiction, family life, Fiction, general, American literature, Fiction, family life, general, Self-perception in women, Américains d'origine coréenne, Romans, nouvelles, Enfants d'immigrants, Perception de soi chez la femme, General, Korean American families -- New York (State) -- New York -- Fiction, Children of immigrants -- Fiction, Social classes -- New York (State) -- New York -- Fiction, Korean American families, Manners and customs, Race relations, Social classes, New York (N.Y.) -- Social life and customs -- Fiction, New York (N.Y.) -- Race relations -- Fiction, New York (State) -- New York, Identity (Psychology)"
Locked in time,Lois Duncan,1985,"Mystery and detective stories, Detective and mystery stories, Paranormal fiction, Juvenile fiction, Reading Level-Grade 9, Reading Level-Grade 11, Reading Level-Grade 10, Reading Level-Grade 12, Children's fiction, Adolescence, fiction, Horror stories"
Devices and Desires,P. D. James,1989,"Detective and mystery stories, Police, Fiction, Adam Dalgliesh (Fictitious character), Dalgliesh, Adam (Fictitious character), Large type books, Serial murderers, Great Britain. Metropolitan Police Office, Great Britain, Fiction, mystery & detective, police procedural, Dalgliesh, adam (fictitious character), fiction, Fiction, mystery & detective, traditional, England, fiction, NOVELAS POLICIACAS INGLESAS"
Captivated,"Nora Roberts, Therese Plummer",1992,"Open Library Staff Picks, Donovan Legacy, Screenwriters, Fiction, Romance, Fantasy, 1990s, Psychics, Contemporary, Love stories, American, Large type books, Donovan family (Fictitious characters), Fiction, romance, general, Donovan family (fictitious characters), fiction, Fiction, romance, contemporary, Witches"
Sing Down the Moon,Scott O'Dell,1970,"Fiction, Navajo Indians, Indians of North America, Juvenile fiction, Native Americans, Accelerated Reader 6.3., Navajo Long Walk, 1863-1867, Relocation, Navajo Long Walk (1863-1867) fast (OCoLC)fst01034856, Reading Level-Grade 9, Reading Level-Grade 8, Reading Level-Grade 11, Reading Level-Grade 10, Reading Level-Grade 12, Large type books, Newbery Honor, Juvenile Fiction, Children's fiction, Indians of north america, fiction, Southwest, new, fiction, Moon, fiction, Indians of north america, navajo indians, fiction"
Maximum security (CHEURUB #3),Robert Muchamore,2006,"Adventure and adventurers, Prisoners, Prisons, Spies, CHERUB (Imaginary organization), Espionage, Fiction, Spy stories, Intelligence service, Great Britain. MI5, Great Britain, Terrorists, Juvenile fiction, Teenagers, Fiction, thrillers, Orphans"
Plain dealer,William Wycherley,1677,"English drama, Theatre Royal (London), Restoration, Fiction, general"
The scarlet thread,Francine Rivers,1996,"Fiction, Diaries, Authorship, Women pioneers, Large type books"
Harry Potter and the Methods of Rationality,Eliezer Yudkowsky,2015,"Harry Potter, fanfiction, fantasy, rational, fiction, rationalfiction, rationalfic"
Tales of Mystery and Imagination [29 stories],Edgar Allan Poe,1902,"short stories, aristocracy, American Horror tales, American literature, Children's fiction, Classic Literature, Crime, Crime fiction, Detective and mystery stories, Fiction, first-person narrative, Gothic fiction, Homicide, Horror, Horror fiction, Horror stories, Horror tales, Hyperesthesia, Juvenile fiction, Murder, silence, premature burial, catalepsy, Taphophobia, crypts, phobias, unconsciousness, berths, American fiction, American Short stories, fear, pendulums, Spanish Inquisition, abbeys, daggers, Hematidrosis, Juvenile audience, masquerade balls, nobility, plagues, shrouds, burial vaults, dragons, hermitages, heroic romances, hysteria, knights, maces, psychogenic death, tarns, Mesmerism, suspense, hoaxes, narration, pseudoscience, Hypnagogia, animal magnetism, hypnotism, tuberculosis, embedded narrative, mountaineering, whirlpools, vortex, Ratiocination, Revenge, cats, short story, unreliable narrators, self-hatred, gallows, obsessive-compulsive disorder, monomania, fixation, Detective and mystery fiction, Illustrated works, Thrillers (Fiction), Illustrations, death, violence, anxiety, American fiction (fictional works by one author), Fiction, mystery & detective, general, Children's stories, American, Fiction, horror, American Detective and mystery stories"
The Alchemyst,"Michael Scott, Michael Dylan Scott",2007,"Magic, Brothers and sisters, Juvenile fiction, nyt:series_books=2011-03-26, Fiction, Twins, New York Times bestseller, Alchemists, Supernatural"
Tancred,"Benjamin Disraeli, Isaac DISRAELI.",1830,"Children's fiction, Disraeli, benjamin, earl of beaconsfield, 1804-1881"
Tomorrow's Promise,Sandra Brown,1983,"Fiction, Legislators, Missing in action, Radio broadcasters, Vietnamese Conflict, 1961-1975, Vietnam War, 1961-1975, Man-woman relationships, Fiction, romance, contemporary, Fiction, romance, general, Large type books, Romance fiction, Family relationships, American Love stories, nyt:mass-market-monthly=2023-08-13, New York Times bestseller"
First phone call from heaven,Mitch Albom,2013,"Heaven, Future life, Single fathers, Belief and doubt, City and town life, Fiction, Roman, Christmas, Fanaticism, Miracles, Single parents, Impostors and imposture, Telephone, Grief, Cell phones, Amerikanisches Englisch, Hoaxes, nyt:combined-print-and-e-book-fiction=2013-12-01, New York Times bestseller, Fiction, visionary & metaphysical, Michigan, fiction, Fiction, religious, nyt:e-book-fiction=2013-12-01, Large type books, Psychological fiction, Vida futura, Novela, Cielo (Religión), Muerte, Impostores, Milagros, Pères de famille monoparentale, Romans, nouvelles, Vie future, Ciel, Aspect religieux, Croyance et doute, Vie urbaine"
Owen,Kevin Henkes,1993,"Fiction, Juvenile fiction, Parent and child, Blankets, Mice, Children's fiction, Parent and child, fiction, Cobijas, Ficción juvenil, Padres e hijos, collectionID:caldecotthonor90, Mice, fiction, Caldecott Honor Book, Couvertures (Literie), Romans, nouvelles, etc. pour la jeunesse, Parents et enfants, Parent-child relationship, award:Caldecott_award, lexile:510, lexile_range:501-600, age:min:2, age:max:6, grade:min:Preschool, grade:max:3"
Le temple du soleil,Hergé,1961,"series:tintin, Pictorial Belgian wit and humor, Graphic novels, Comic books, strips, Children: Kindergarten, Adventure and adventurers, fiction, Children's fiction, Tintin (fictitious character), fiction, Tintin (Fictitious character), Novela gráfica, Tintín (Personaje literario), Adventure and adventurers, Fiction, Ficción juvenil, Aventuras, Muñequitos, tiras cómicas, Cartoons and comics, Suspense fiction, Children's stories, Belgian (French), Detective and mystery comic books, strips, French, Adventure stories"
Le parfum de la dame en noir,Gaston Leroux,1908,"Classic Literature, Fiction, Roman policier, Detective and mystery stories, Roman, Français (langue), Lectures et morceaux choisis, Romans policiers, Romance literature, Private investigators, Continental european fiction (fictional works by one author), French Detective and mystery stories"
The Petrakos Bride,Lynne Graham,2007,"Fictuon, Romance, Contemporary, Mistresses, Greeks, Social classes, Harlequin, Fiction, romance, general"
Il Furto Del Diamante Gigante,Elisabetta Dami,2008,"Animals, Journalists, Geronimo Stilton (Fictitious character), Juvenile fiction, Adventure and adventurers, Mice, Fiction, Child and youth fiction, Romans, nouvelles, etc. pour la jeunesse, Journalistes, Souris, Golf, Tournois, Voleurs de bijoux, Caddies (Golf), Roman d'aventures, Roman pour la jeunesse, Voleurs"
The Epic of Gilgamesh,N. K. Sandars,1960,"Fiction, Poetry, Translations into English, Epic poetry, Assyro-Babylonian, Sumerian Epic poetry"
"Waldo and Magic, Inc",Robert A. Heinlein,1950,"American Science fiction, Fiction, fantasy, general, Fiction, science fiction, general, Magic, Fiction, Space travelers, FICTION / Science Fiction / General, FICTION / Science Fiction / Adventure, FICTION / Science Fiction / Space Opera"
Mr Norris Changes Trains,Christopher Isherwood,1935,"English fiction, Fiction, Fiction in English, History, Nazis, Berlin (germany), fiction, Fiction, general, Fiction, espionage, Nazis, fiction, Friendship, fiction"
One Italian Summer,Rebecca Serle,2022,"nyt:combined-print-and-e-book-fiction=2022-03-20, New York Times bestseller"
The Heaven & Earth Grocery Store,James McBride,2023,"nyt:combined-print-and-e-book-fiction=2023-08-27, New York Times bestseller"
Bonita (Spirit of the Cimarron),Kathleen Duey,2002,"Children's fiction, Bedtime, fiction, Horses, fiction"
The Tycoon's Pregnant Mistress,Maya Banks,2009,"Fiction, Contemporary Romance, Mistresses, Brothers, Impostors, Amnesia, Pregnant woman, Silhouette Desire, The Anetakis Tycoons series"
The legend of the Indian paintbrush,Tomie dePaola,1988,"Indians of North America, Big books, Folklore, Artists, Flowers, Juvenile literature, Children's fiction, Indians of north america, fiction, Paintbrushes, Indians of north america, folklore, Indians of north america, folklore, juvenile literature, Flowers, juvenile literature, Artists, juvenile literature, Bluebonnets (Lupines), Poinsettias, Bread, Legends, JUVENILE FICTION, Nature & the Natural World, People & Places, Legends, Myths, Fables, Native American, Flores, Indios de América del Norte, Artistas, Folklore, juvenile literature, Flowers, fiction, Great plains, juvenile literature"
Star Born,Andre Norton,1957,"Classic Literature, Fiction, Science Fiction, Science Fiction & Fantasy, Pax, Fiction, fantasy, general, Fiction, science fiction, general, Fiction, science fiction, action & adventure, American Science fiction, Space colonies -- Fiction, Children's fiction, Life on other planets, fiction"
Kristina,Carolyn Meyer,2003,"Juvenile fiction, Fiction, Diaries, History, Children's fiction, Kings, queens, rulers, etc., fiction, Sweden, fiction, Diaries, fiction"
A Girl Named Rose,Betty Neels,1986,"Fiction, Romance, Contemporary, Nurses, fiction, Surgeons, fiction, Man-woman relationships, fiction, Physicians, fiction"
Damia,"Anne McCaffrey, Jean Reed Bahle",1992,"Science fiction, Telepathy in fiction, Telepathy, Fiction, Fiction, fantasy, general"
Elsewhere,Gabrielle Zevin,2005,"Death, Juvenile fiction, Fiction, Young adult fiction, Future life, Psychological fiction, Death, fiction, Children's fiction, Future life, fiction, Large type books, Fantasy fiction"
A Legend of Montrose and the Black Dwarf,Sir Walter Scott,1800,"History, Fiction, Fiction, historical, general, Scotland, fiction"
"Cattle Rancher, Secret Son",Margaret Way,2007,"Fiction, Romance, Contemporary, Tender Romance, Ranch life, fiction, Love stories, fiction, Single mothers, fiction, Sons, fiction, Ranchers, fiction, Fiction, romance, western, Single women, fiction, Mothers and sons, fiction, Australia, fiction, Man-woman relationships, fiction"
The Changeover,Margaret Mahy,1974,"Brothers and sisters, Juvenile fiction, Fiction, Supernatural, Witches, Large type books, Paranormal fiction, Romance fiction, Love, New Zealand fiction, Friendship, fiction, Children's fiction, Teenage romance, Occult fiction, Love stories, Fiction, romance, fantasy, Fiction, thrillers, general, Young women, fiction, Fantasy fiction, Witchcraft, fiction, New zealand, fiction, Brothers and sisters, fiction, Child and youth fiction, Siblings, fiction"
Romantic Encounter,Betty Neels,1992,"Fiction, Romance, Contemporary, Nurses, fiction, Man-woman relationships, fiction, Surgeons, fiction"
Mistress Bought and Paid For,Lynne Graham,2006,"Fiction, Romance, Contemporary, Man-woman relationships, fiction, Models, fiction, Revenge, fiction"
Pancakes for Breakfast,Tomie dePaola,1978,"Stories without words, Breakfasts, Pets, Juvenile fiction, Pancakes, waffles, Fiction, Children's fiction, Food, fiction, Juenile fiction, Pets, fiction"
Witchcraft,Jayne Ann Krentz,1985,"Fiction, Romance, Contemporary, Witches, fiction, Large type books, California, fiction, Napa county (calif.), fiction, Fiction, romance, short stories, Texas, fiction, Fiction, suspense, Fiction, romance, collections & anthologies, Fiction, thrillers, suspense"
Dragon's Fat Cat (Dragon Tales),Dav Pilkey,1992,"Children's fiction, Cats, fiction, Fiction, Juvenile fiction, Cats, Dragons, Monsters, fiction, Dragones, Novela juvenil, Spanish langauge materials, Gatos, Dragons, fiction, Pets, fiction"
Last April Fair,Betty Neels,1955,"Fiction, Romance, Contemporary, Man-woman relationships, fiction, Fiction in English, Nurses, fiction, Love stories, fiction"
The Santangeli Marriage,Sara Craven,2009,"Fiction, Romance, Contemporary, Man-woman relationships, fiction, Orphans, fiction, Forced marriage, fiction, Married people, fiction"
Fantasy Girl,Carole Mortimer,1983,"Fiction, romance, contemporary, Fiction, general, Fiction, romance, general"
Unreal!,Paul Jennings,1985,"Australian Fantasy fiction, Children's stories, Australian, Occult fiction, Short stories, Supernatural, Australian Paranormal fiction, Fiction, Australian Humorous stories, Fantasy fiction, Supernatural, fiction, Children's fiction, Paranormal fiction"
Cibola burn,James S. A. Corey,2014,"Space warfare, Life on other planets, Fiction, High Tech, Science-Fiction-Literatur, Space Opera, Science Fiction, Adventure, Amerikanisches Englisch, Fiction, science fiction, general, FICTION / Science Fiction / Adventure, FICTION / Science Fiction / Space Opera, FICTION / Science Fiction / High Tech"
I giorni dell'abbandono,Elena Ferrante,2002,"Translations into English, Fiction, FICTION / Family Life, FICTION / Contemporary Women, Italian fiction, Housewives, Depressed persons, FICTION / Literary, Fiction, psychological, Italy, fiction, Man-woman relationships, fiction, Single women, fiction, Romance literature"
The Science of Discworld,"Terry Pratchett, Ian Stewart, Jack Cohen, Ian Stewart, Jack Cohen",1999,"Fantasy fiction, Cosmology, Discworld (Imaginary place), Fiction, Scientists, Wizards, Elves, FICTION / Alternative History, FICTION / Fantasy / Contemporary, FICTION / Science Fiction / Adventure, Evolution (Biology), Fiction, science fiction, action & adventure, Discworld (imaginary place), fiction, Scientists, fiction, Fantasy fiction, history and criticism, General, Science / General, Fiction - General"
Heaven Round the Corner (Best of Betty Neels),"Betty Neels, Betty Neels",1981,"Fiction, Romance, Contemporary, Nurses, fiction, Private duty nursing, fiction, Home nursing, fiction, People with disabilities, fiction"
Mistress,Jayne Ann Krentz,1994,"Fiction, Romance, Historical, Mistresses, fiction, Man-woman relationships, fiction, England, fiction, Man-woman relationships, Fiction, Mistresses"
The Shop On Blossom Street,"Debbie Macomber, Linda Emond",2004,"Fiction, Contemporary Romance, Female friendship, Women, Knitting shops, Psychology, Friendship, Christian life, Large type books, Blossom Street series, Knitting"
A Special Arrangement,Madeleine Ker,1989,"Fiction, Romance, Contemporary, Fiction, general"
Intimate Deception,Kay Thorpe,1990,"Fiction, Romance, Contemporary, Fiction, general"
Thaddeus of Warsaw,Jane Porter,1999,"Poland, fiction, Fiction, historical, general"
When Passion Rules,Johanna Lindsey,2011,"Fiction, Romance, Historical, Mistaken identity, fiction, London (England), fiction, Mistaken identity, Fiction, History"
Travesuras de la niña mala,Mario Vargas Llosa,2006,"Travelers, Women travelers, Fiction, Travelers in fiction, Women travelers in fiction, Ficción, Man-woman relationships, Relaciones hombre-mujer, Fiction, historical, Sisters, fiction, Chile, fiction, Fiction, psychological, Young women, fiction, New York Times reviewed, Fiction, romance, general, Man-woman relationships, fiction, Cuba, fiction, Paris (france), fiction, Abenteurerin, Erotomanie, Dolmetscher, Peruaner, Fiction (fictional works by one author), Love, Juvenile fiction"
At the Foot of the Rainbow,Gene Stratton-Porter,1907,"Fiction, Interpersonal relations, Farm life, Friendship, Classic Literature, Romance, Juvenile fiction, Fiction, general, Friendship, fiction, Indiana, fiction"
Martian Time Slip,Philip K. Dick,1964,"Fiction, Fiction in English, Fiction, science fiction, general, Real estate development, Corrupt practices, American Science fiction, Time"
Third grade angels,Jerry Spinelli,2012,"Conduct of life, JUVENILE FICTION / Social Issues / Friendship, Fiction, Schools, JUVENILE FICTION / School & Education, Friendship, Juvenile fiction, Social Issues, JUVENILE FICTION, School & Education, Children's fiction, Friendship, fiction, Conduct of life, fiction, Schools, fiction"
Lotte in Weimar,Thomas Mann,1939,"Fiction, German Authors, Goethe in fiction, drama, poetry, In literature, Relations with women, Women, German fiction, Continental european fiction (fictional works by one author), Fiction, biographical, Authors, fiction, Germany, fiction, Fiction, romance, historical, Fiction, romance, historical, general"
Numbering All the Bones,Ann Rinaldi,2002,"Teenage girls, Juvenile fiction, Fiction, United States Civil War, 1861-1865, Slaves, African Americans, History, 1000blackgirlbooks, Children's fiction, Kentucky, fiction, Slavery, fiction, African americans, fiction, Slaves, fiction, United states, history, civil war, 1861-1865, fiction, Georgia, fiction, Fiction, historical, Fiction, historical, general"
The hearing trumpet,"Leonora Carrington, Pablo Weisz-Carrington",1976,"Fiction in English, Fiction, fantasy, general, Fiction, general, Symbolism, Fiction, New York Times reviewed"
One Corpse too Many,Edith Pargeter,1979,"Brother Cadfael (Fictitious character), Fiction, Herbalists, History, Monks, Large type books, Cadfael, brother (fictitious character), fiction, Fiction, mystery & detective, general, Fiction, historical, England, fiction, Clergy, fiction, Fiction, historical, general, Fiction in English, Fiction, mystery & detective, historical, Great britain, fiction"
Bernice Bobs Her Hair (story),F. Scott Fitzgerald,1920,"Fiction, short stories (single author), Fiction, classics, Fiction, romance, contemporary"
